Temperatura,Personas,Electrodomesticos,Consumo_kWh
22.129065405331367,1.0,9.0,36.86539282131684
18.111902934040916,4.0,12.0,46.91118477407576
26.74316911247472,3.0,18.0,54.10573820531471
25.508358973237563,3.0,9.0,42.1104140181505
16.74459218046441,5.0,8.0,38.356696533215576
20.16225941941417,4.0,18.0,55.83910057145331
16.312701546374864,2.0,9.0,30.45122449449048
15.389262387045704,2.9822105263157894,13.0,39.747552101639656
30.86129139153715,4.0,14.0,59.34358247129445
25.350700814485755,2.0,11.0,40.77818976891574
23.611357601746526,2.0,15.0,45.14109271312646
16.78274999126637,3.0,5.0,35.18939350021752
16.950290617060766,2.0,10.0,33.95661084511908
24.20868186191103,1.0,15.0,44.19771610029123
27.64438426723401,2.0,7.0,35.967301610353466
17.30615684439936,5.0,11.0,39.241934835059645
20.990797387843088,3.0,12.497894736842106,55.32723848522607
27.226856386770624,2.0,6.0,36.6900131116434
24.69080982907252,5.0,12.497894736842106,42.88960617752769
26.060593348861268,4.0,8.0,46.386846091294814
23.205531503147625,5.0,14.0,56.63464599765206
17.237452344985048,2.0,13.0,38.70787215421779
21.31866621840682,1.0,18.0,43.75570830015175
28.336241042780863,2.0,7.0,37.27669121489379
22.8681682229509,2.9822105263157894,13.0,48.23083036471107
15.883726128964286,2.0,13.0,38.537304500053565
29.07659990558876,3.0,6.0,38.54647260620787
24.2885548989133,1.0,15.0,43.9834477799605
25.64437921445729,5.0,11.0,57.28522917919023
31.84217365454909,3.0,12.497894736842106,35.7233285572502
19.26105996087493,3.0,12.497894736842106,37.942341488287006
18.60290864174248,2.0,17.0,48.37258265956254
9.46884841489958,1.0,13.0,30.424577854284703
25.03097745226773,2.0,6.0,32.248802299652695
21.887305549734972,1.0,15.0,42.61630685814064
22.067111286900737,3.0,9.0,39.34211079938763
26.679724468728185,2.9822105263157894,12.0,55.56367658897398
21.89279866533224,1.0,15.0,42.298341945571984
24.058098204526647,1.0,12.0,42.90358128627384
21.64338037618929,1.0,7.0,24.575415620768915
21.772812122243916,3.0,11.0,42.80007984437287
21.89279866533224,5.0,15.0,58.926817789108746
21.52982632672232,5.0,12.0,52.4052438445747
19.89578023359764,4.0,5.0,36.73620401602054
21.39451226027174,5.0,12.497894736842106,49.05570996243248
24.560686973731915,5.0,11.0,48.654587661025055
22.65769233333428,3.0,7.0,38.30954630962872
20.341914378917583,1.0,13.0,41.696424949123205
13.838068596918912,3.0,6.0,29.484066741002643
21.89279866533224,4.0,20.0,59.43045367520132
17.037131097160437,1.0,5.0,24.75202029843755
21.193268065975,2.0,11.0,36.691778558456704
27.962021653404125,1.0,18.0,48.76682547662494
23.25368275988945,2.0,14.0,48.70938711614408
17.93191876264756,4.0,7.0,34.97705115207884
21.89279866533224,5.0,11.0,50.15305984041744
20.65928930432201,2.9822105263157894,15.0,49.3312905135345
19.58720260673476,5.0,7.0,39.77571854461159
28.2230524012052,4.0,9.0,45.475237363813534
25.384300585266036,4.0,20.0,61.48516772925512
37.9375134328317,5.0,12.0,67.54896430930881
16.59717622669206,3.0,17.0,50.66501668150665
22.051146507263837,1.0,5.0,31.424524935149133
24.189148402181743,4.0,12.497894736842106,41.19470577238398
28.638938114890877,1.0,13.0,45.23396087342852
20.74427484577173,1.0,12.0,35.29519882314395
29.965553135834867,4.0,13.0,54.75876865926693
22.85408853550006,2.0,19.0,58.44122557474557
18.453730489200783,2.0,12.0,42.48997351829117
21.334877044690494,3.0,18.0,53.10630029135673
21.913215302548423,3.0,20.0,56.26125195838223
21.494535433094494,3.0,14.0,50.20519280194144
19.17980186224453,1.0,7.0,30.262418828835823
21.10482202430804,4.0,13.0,48.080980678694914
27.055294140573142,3.0,8.0,44.61167981012184
26.604979178770108,4.0,8.0,49.64082453802644
31.665449170723825,3.0,19.0,64.77427656486957
18.023183905556493,1.0,12.0,31.52518240572574
16.94232401633436,2.0,20.0,49.37867121809456
32.75389972791271,3.0,13.0,58.76256036045709
21.89279866533224,5.0,19.0,70.5676966628113
24.205757535367,1.0,15.0,41.12284263145504
17.912803365671124,5.0,19.0,57.20476747223079
24.189462398994973,1.0,20.0,49.60924871511741
22.49861638947104,3.0,9.0,38.50430181942125
28.122153357133307,3.0,8.0,45.04578011387089
18.152004755181377,2.9822105263157894,13.0,37.26649383914015
22.96059839563318,1.0,6.0,28.668296570283637
13.38373469126348,2.9822105263157894,18.0,43.68464982798788
24.306296013015206,1.0,13.0,39.802534947827326
16.573166105614874,3.0,8.0,30.51473537101351
31.116891173276063,3.0,8.0,39.73699745632493
15.335682533205464,3.0,13.0,42.4159909394772
30.186956105712326,4.0,6.0,41.50296679356908
14.009454447472171,2.0,12.497894736842106,50.96331664490001
23.13255869894169,2.0,8.0,37.830320146038446
23.169489953097028,3.0,14.0,52.699307316214856
17.263887766378723,2.0,14.0,44.63103752730653
15.69211896147018,3.0,15.0,41.35805986848229
